TagDate,RecapDate,Recap_Year,Site,SiteName,Lat,Long,StatBlock,RecapL,Lt,Dt,DL
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,120,116,1,3.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,130,127,1,2.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,105,81,1,23.88
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,98,71,1,26.87
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,89,70,1,18.9
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,106,85,1,20.89
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,104,83,1,20.89
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,92,66,1,25.87
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,90,63,1,26.87
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,97,75,1,21.89
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,99,75,1,23.88
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,75,61,1,13.93
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,91,69,1,21.89
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,104,83,1,20.89
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,100,78,1,21.89
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,85,69,1,15.92
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,105,83,1,21.89
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,101,78,1,22.89
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,108,88,1,19.9
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,109,94,1,14.92
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,92,73,1,18.9
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,126,122,1,3.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,122,117,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,137,136,1,0.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,122,118,1,3.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,135,130,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,136,130,1,5.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,126,121,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,129,130,1,-0.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,117,106,1,10.94
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,129,127,1,1.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,132,130,1,1.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,131,128,1,2.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,131,126,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,110,101,1,8.95
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,107,90,1,16.91
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,132,129,1,2.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,133,131,1,1.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,131,131,1,0
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,105,87,1,17.91
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,115,104,1,10.94
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,117,112,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,141,136,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,118,102,1,15.92
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,112,111,1,0.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,107,95,1,11.94
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,133,108,1,24.88
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,134,135,1,-0.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,110,108,1,1.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,126,118,1,7.96
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,131,130,1,0.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,135,124,1,10.94
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,110,92,1,17.91
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,118,114,1,3.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,121,116,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,121,108,1,12.93
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,134,132,1,1.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,118,109,1,8.95
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,142,136,1,5.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,108,96,1,11.94
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,120,115,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,134,130,1,3.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,126,126,1,0
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,120,102,1,17.91
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,124,112,1,11.94
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,134,133,1,0.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,129,120,1,8.95
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,128,112,1,15.92
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,119,110,1,8.95
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,135,120,1,14.92
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,114,106,1,7.96
